Serial Number,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other
1305099,RW,341,841135,XUN YU SI KAO NY INC,XUN YU SI KAO NY,5609 7TH AVE,Not Available,11220,9/30/19,10/31/21,RESTAURANT SERVING BEER WINE AND CIDER,Not Available,Not Available
1295733,OP,252,924311,E & B GUNTHERS LLC,GUNTHERS,84 MAIN ST,Not Available,11768,7/24/20,7/31/22,BAR/TAVERN SERVING BEER WINE CIDER & LIQUOR,Not Available,Recorded/Juke Box/Live Music
1172123,OP,252,912573,FOUR M FOOD SERVICE OF NEW ROC LLC,BUFFALO WILD WINGS,33 LE COUNT PLACE,MAIN ST & NORTH AVE,10801,11/7/19,11/30/21,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Not Available
1289969,AX,128,910359,SPEEDWAY LLC,SPEEDWAY #07705,880 OLD COUNTRY RD,Not Available,11590,11/29/18,1/31/22,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
1322254,OP,252,923835,NOIR GROUP 16 LLC,NOIR,357 W 16TH ST,Not Available,10011,6/16/20,5/31/22,NIGHT CLUB/BAR SERVING LIQUOR WINE BEER AND CIDER,Mon - Sun 12:00 PM to 4:00 AM Hosting private events 1st 3-4 months,Recorded DJ Music Permitted No Dancing
3154705,L,222,903049,PERNELLS LIQUOR INC,Not Available,1990 FILLMORE AVE,Not Available,14214,7/20/18,9/30/21,LIQUOR STORE,Not Available,2813 sq ft
3162976,AX,128,915961,SPEEDWAY LLC,SPEEDWAY #9870,2133 S PARK AVE,Not Available,14220,8/19/19,1/31/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
3136851,OP,252,921595,CREGO'S BIRDSALL INN INC,Not Available,9011 COUNTY ROUTE 15B,Not Available,14822,5/11/20,3/31/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Not Available
3013608,OP,252,910390,PATRICIA A MASSICCI,PETES CAYUGA RESTAURANT,116 S CAYUGA ST,Not Available,14850,9/18/19,9/30/21,TAVERN SERVING BEER CIDER WINE AND LIQUOR,Not Available,Not Available
3158329,AX,128,910021,WAL-MART STORES EAST LP,WALMART #2164 FUEL STATION,287 S CASCADE DR,Not Available,14141,11/8/18,12/31/21,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
1277113,RW,341,842140,PEAK THAI INC,Not Available,301 E 49TH ST,Not Available,10017,3/30/20,4/30/22,RESTAURANT SERVING BEER CIDER AND WINE,Open Mon.-Thurs. 11AM to 11PM Fri. & Sat. 11AM to 1:30 AM and Sunday 12PM to 10PM,Recorded Music Sidewalk cafe
1233765,AX,123,919931,AAN DELI & GROCERY INC,Not Available,35 14 28TH AVENUE,34TH AND 35TH STREETS,11103,7/24/19,7/31/22,GROCERY STORE SELLING BEER WINE & CIDER PRODUCTS,Not Available,Not Available
1317034,AX,122,904295,720 K L DELI GROCERY CORP,Not Available,720 COURTLANDT AVE,Not Available,10451,7/5/19,6/30/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2157698,DX,126,911897,WALGREEN EASTERN CO INC,WALGREENS,305 W MAIN ST,FINNEY & MAIN,12953,12/26/18,1/31/22,DRUG STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
3160610,OP,252,917444,NICKERSON BOYS INC,NICK'S PUB & GRILLE,102 N MAIN ST,Not Available,14845,5/4/20,5/31/22,BAR/TAVERN SERVING LIQUOR WINE BEER AND CIDER,Juke Box/Recorded Music,Not Available
2507090,CL,243,908423,AMERICAN LEGION POST 1342 INC,Not Available,6991 COUNTY ROUTE 10,Not Available,13658,7/31/19,9/30/21,CLUB TAVERN SERVING BEER CIDER WINE AND LIQUOR,Not Available,Members only - not open to the public
1200571,AW,122,565187,2031 WEBSTER FOOD CORP,Not Available,2031 WEBSTER AVE,Not Available,10457,11/24/20,9/30/21,GROCERY STORE SELLING WINE CIDER PRODUCTS,Not Available,Not Available
2008721,OP,252,917226,STATION 9 INC,ERIE HOTEL,7- 11 JERSEY AVE,Not Available,12771,4/21/20,5/31/22,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,Not Available,Not Available
2217048,A,128,915807,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #6066,232 N MAIN ST,Not Available,13662,6/18/19,5/31/22,GROCERY STORE SELLING BEER AND CIDER,Not Available,Not Available
1262072,OP,252,924587,GALANGA INC,GALANGA THAI COOKING,149 W 4TH ST,Not Available,10012,7/31/20,7/31/22,RESTAURANT SERVING BEER WINE LIQUOR & CIDER,Sun-Thur (11:30am - 11pm); Fri-Sat (11:30am - 11:30pm),Will not operate as Nightclub/Disco; Quiet Background Music; Full Kitchen Required
2215033,WS,308,910632,LLOYD CELLARS INC,Not Available,25 ENTERPRISE CT,STE 4-8,94558,12/19/18,11/30/21,DIRECT WINE SHIPPER,Not Available,Not Available
2606238,OP,252,914217,BLARNEY STONE SPORTS PUB INC THE,Not Available,26 SOUTH BROAD STREET,WEST MAIN & HAYES STS,13815,1/14/20,1/31/22,TAVERN SERVING BEER CIDER WINE AND LIQUOR,Not Available,Not Available
1255201,OP,252,916199,133 ESSEX RESTAURANT LLC,SONS OF ESSEX,133 ESSEX ST,Not Available,10002,3/11/20,3/31/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,CB 3 APPROVED HRS: SUN - WED FROM 10AM TO 2AM THU - SAT FROM 10AM TO 4AM,NO SIDEWALK CAFE PERMITTED DOORS & WINDOWS CLOSED AT 10PM BACKGROUND MUSIC ONLY MAX SEATING OF 144 NO LIVE MUSIC OR PROMOTED EVENTS
1292574,OP,252,925443,CARRAMORE RESTAURANT INC,SEAN'S BAR & KITCHEN/REILLY'S PLATES & POURS,38-42 W 48TH ST,Not Available,10036,8/25/20,3/31/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Recorded music
2212202,OP,252,924568,MOUNTAIN FRIENDS CORPORATION,BAXTER MOUNTAIN TAVERN,10050 RTE 9N,Not Available,12942,7/30/20,7/31/22,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,Not Available,Licensed Deck
1307471,CT,246,914357,BREAKING GROUND V LLC & COMMON GROUND MGMT CORP,PRINCE GEORGE BALLROOM,15 E 27TH ST,Not Available,10016,1/17/20,1/31/22,CATERING ESTABLISHMENT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Recorded/Live/DJ Music; Patron Dancing
3151053,OP,252,915567,SPANKY6555 ENTERPRISES INC,MY APARTMENT,2515 MT READ BLVD,Not Available,14615,2/20/20,2/28/22,TAVERN SERVING LIQUOR WINE BEER & CIDER,Licensed patio,Not Available
1262954,OP,252,921614,THYME LLC,THYME RESTAURANT & CAFE BAR,8 TOWER PLACE,Not Available,11576,5/12/20,5/31/22,ON PREMISE SERVING BEER WINE CIDER & LIQUOR,Not Available,Includes Outdoor Areas
3162166,AX,122,915588,QLZU INC,CANANDAIGUA MARATHON,540 N MAIN ST,Not Available,14424,4/4/19,3/31/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
3156578,OP,252,917032,PHAT CATZ OF WNY INC,Not Available,965 KENSINGTON AVE,Not Available,14215,4/6/20,4/30/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Not Available
3164043,RW,341,798459,TRAN HUY GARDEN INC,TRAN HUY GARDEN,515 E RIDGE RD,T/O IRONDEQUOIT,14621,4/24/20,3/31/22,RESTAURANT SERVING WINE BEER AND CIDER,Recorded Music,Not Available
2606365,OP,252,917160,OLE SMOKEHOUSE LLC THE,Not Available,3512 COUNTY ROAD 14,Not Available,13660,4/16/20,4/30/22,RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,Not Available,Not Available
1286432,CT,246,913119,COMPASS GROUP USA INC,Not Available,1000 FULTON AVE,Not Available,11550,11/25/19,12/31/21,CATERING ESTABLISHMENT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Recorded music
1324176,OP,252,923014,PIZZA PROS CORP,CAPELLINI TRATTORIA & PIZZERIA,225 MIDDLE COUNTRY RD,Not Available,11784,7/13/20,6/30/22,RESTAURANT SERVING LIQUOR WINE AND BEER,Not Available,Not Available
1172114,OP,252,921655,AYHAN'S SHISH KEBAB OF BALDWIN INC,AYHAN'S SHISH KEBAB RESTAURANT,550 SUNRISE HGWY,Not Available,11510,5/13/20,4/30/22,RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,Not Available,Not Available
