Serial Number,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other
1272929,A,122,920789,YVONNE DELI & GROCERY INC,SAMLALL MINI DELI AND GROCERY,111 01 ROCKAWAY BLVD,Not Available,11420,8/20/19,10/31/22,GROCERY STORE SELLING BEER & CIDER,Not Available,Not Available
1204317,OP,252,927025,316 BOWERY LLC,SAXON AND PAROLE,316 BOWERY,Not Available,10012,10/14/20,8/31/22,RESTAURANT SERVING BEER WINE CIDER & LIQUOR,Not Available,Not Available
3124912,AX,122,921501,RAM VIJAY ENTERPRISES INC,FINGER LAKES RETURNABLES,2171 ROUTES 5 & 20 WEST,Not Available,13148,10/4/19,9/30/22,GROCERY STORE SELLING BEER WINE & CIDER PRODUCTS,Not Available,Not Available
2222903,AX,122,935198,WALI NB INC,Not Available,431 ROBINSON AVE,Not Available,12550,11/18/20,10/31/23,GROCERY STORE SELLING BEER WINE PRODUCTS AND CIDER,Not Available,Not Available
3010906,TL,252,925464,SCHUTH ENTERPRISES INC,SALMON CREEK COUNTRY CLUB,355 WASHINGTON ST,Not Available,14559,8/25/20,9/30/22,TAVERN SERVING BEER WINE LIQUOR & CIDER,Not Available,Not Available
3155069,RW,341,842778,INDIAN GROCERS INC,SPICES OF INDIA,438 EVANS ST,Not Available,14221,10/14/20,10/31/22,RESTAURANT SERVING BEER CIDER & WINE ONLY,Not Available,Not Available
1327581,RW,341,831149,PONCHE TAQUERIA CORP,Not Available,420 W 49TH ST,Not Available,10019,9/14/20,8/31/22,RESTAURANT SERVING WINE BEER AND CIDER,Not Available,Recorded Music
2208209,L,222,937686,HOOSAC HOLDINGS INC,HOOSAC PACKAGE,53 CLASSIC ST,Not Available,12090,10/23/20,10/31/23,LIQUOR STORE SELLING WINE AND LIQUOR,Not Available,Not Available
1323099,OP,252,923156,MISAKI II CORP,MISAKI SUSHI,645 ROSSVILLE AVE,STORE 108,10309,8/10/20,7/31/22,RESTAURANT SERVING LIQUOR WINE BEER & CIDER,Not Available,Music: Recorded
3157123,OP,252,926381,ROGERS BREWING LLC,58 MAIN BBQ & BREW,58 N MAIN ST,Not Available,14420,9/22/20,9/30/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,licensed patio,Not Available
1117717,AX,122,919538,NOAMAN M THABET & NAJEEB ABDO ALI,M & D MINI MARKET,613 615 MARCY AVENUE,SE CRN MARCY & WILLOUGHBY AVES,11206,7/5/19,8/31/22,GROCERY STORE SELLING BEER WINE COOLER & CIDER PRODUCTS,Not Available,Not Available
1318936,AX,122,904670,SALI PAZARI INC,RON'S BEVERAGE CENTER,217 WAVERLY AVE,Not Available,11772,11/20/19,10/31/22,GROCERY STORE SELLING BEER WINE PRODUCTS AND CIDER,Not Available,Not Available
1299722,AX,122,923803,MAHANT 247 INC,7 ELEVEN STORE #33607B,247 BROADWAY,Not Available,11743,1/7/20,2/28/23,GROCERY STORE SELLING BEER WINE AND CIDER,Not Available,Not Available
1320598,DD,207,999999,STANDARD SPIRIT CORPORATION,STANDARD SPIRIT DISTILLERY,68 34TH ST,BLDG 6 1ST FL SPACE B(EAST),11232,11/25/19,8/31/22,FARM DISTILLER D,Not Available,Not Available
1327041,AX,122,935233,SAM 3 DELI GROCERY INC,Not Available,2039 GRAND CONCOURSE,Not Available,10453,11/24/20,10/31/23,GROCERY STORE SELLING BEER WINE PRODUCTS AND CIDER,Not Available,Not Available
2506783,OP,252,926756,6TH WARD ATHLETIC CLUB INC,6TH WARD A C,22 WEST BROADWAY,NOT-FOR-PROFIT,13820,10/1/20,9/30/22,TAVERN SERVING BEER WINE LIQUOR & CIDER,Not Available,Not Available
1297051,A,122,920375,TROPICAL 2 DELI & GROCERY INC,LA TROPICAL II,136 HEYWARD ST,Not Available,11717,8/7/19,9/30/22,GROCERY STORE SEELING BEER & CIDER,Not Available,Not Available
1126720,L,222,926460,ROBOMAR INC,PIKE'S WINE & LIQUOR,645 HEMPSTEAD TPKE,Not Available,11003,5/11/20,5/31/23,LIQUOR STORE SELLING WINE AND LIQUOR,Not Available,Not Available
1273175,DW,301,921632,JASON'S VINEYARD'S INC,Not Available,1785 MAIN RD,Not Available,11947,10/15/19,10/31/22,WINERY,Not Available,Not Available
1010309,AX,122,932361,GLENWOOD ROAD SUPERETTE INC,Not Available,5513 15 GLENWOOD RD,Not Available,11234,7/6/20,6/30/23,GROCERY STORE SELLING BEER AND WINE PRODUCTS,Not Available,Not Available
1282012,AX,122,937728,POLISH SPECIALTIES LLC,Not Available,1949 RICHMOND AVE,STORE #5,10314,10/26/20,10/31/23,GROCERY STORE SEELING BEER & CIDER ONLY,Not Available,Not Available
1319324,AX,122,904689,19 STAR FINEST DELI CORP,Not Available,19 W TREMONT AVE,Not Available,10453,11/27/19,10/31/22,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
2194887,AX,122,924690,GJP ENTERPRISES INC,FLORY MOBIL MART,5 SCHUYLER BLVD,Not Available,12524,2/12/20,3/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
3155181,FD,106,999999,KNUCKLEHEAD CRAFT BREWING LLC,KNUCKLEHEAD CRAFT BREWING,426 RIDGE RD,Not Available,14580,10/9/18,10/31/22,FARM BREWER,Not Available,Not Available
3158665,AX,128,921841,REID STORES INC,CROSBY'S,2594 MAIN RD,Not Available,14056,10/22/19,10/31/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1281307,TW,344,937682,C & K GROCERY CORPORATION,MALT AND MOLD,362 2ND AVE,Not Available,10010,10/23/20,10/31/22,RETAIL BEER AND CHEESE SHOP SERVING WINE AND BEER CIDER,CB6 APPROVED HRS OF OPERATION: TO CLOSE AT 10PM SUN THRU THURS AND 12AM FRI AND SAT,NO DANCING
2220244,WS,308,923137,KUNIN WINES LLC,KUNIN WINES,2717 AVIATION BLVD,SUITE F-4,93455,1/17/20,12/31/22,DIRECT WINE SHIPPERS,Not Available,Not Available
1317456,A,122,917912,QUICK PICK 102 STATIONERY INC,FLEETWOOD STATIONERY,556 GRAMATAN AVE,Not Available,10552,11/12/19,10/31/22,GROCERY STORE SELLING BEER AND CIDER,Not Available,Not Available
2197093,AX,122,932882,TEJNISH INC,FULTON MINI MART,471 FULTON ST,Not Available,12180,7/31/20,8/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1319735,OP,252,890142,HOOK & REEL GEORGETOWN INC,HOOK & REEL CAJUN SEAFOOD & BAR,2183B RALPH AVE,Not Available,11234,10/8/20,9/30/22,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,Not Available,Recorded music no dancing
2216972,AX,128,916346,FASTRAC EG LLC,FASTRAC STORE 242,1400 1410 ORISKANY ST W,Not Available,13502,10/30/19,9/30/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1329374,AX,122,905185,CONFE PARK DELI GROCERY CORP,Not Available,4666 PARK AVE,Not Available,10458,10/21/20,9/30/23,GROCERY STORE SELLING BEER WINE PRODUCTS AND CIDER,Not Available,Not Available
1324340,OP,252,923125,MELTOLOGY OF MIDDLE ISLAND LLC,MELTOLOGY,848 MIDDLE COUNTRY RD,Not Available,11953,8/3/20,7/31/22,RESTAURANT SERVING LIQUOR WINE BEER & CIDER,Not Available,Music: Recorded
1276525,AX,122,924785,LICEY GROCERY CORP,Not Available,222 MANHATTAN AVE,Not Available,11206,2/19/20,2/28/23,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
1273382,AX,122,921726,ONE STOP TO SHOP GOURMET & DELI CORP,Not Available,1339 FULTON ST,Not Available,11216,10/17/19,10/31/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1272883,A,122,923869,EZ GROCERY STORE INC,Not Available,9 WALKER ST,Not Available,10302,1/9/20,2/28/23,GROCERY STORE SELLING BEER & CIDER,Not Available,Not Available
3116498,OP,252,927104,SENECA NIAGARA FALLS GAMING CORP,STIR,305-310 FOURTH STREET,Not Available,14303,10/15/20,11/30/22,TAVERN SERVING BEER WINE LIQUOR & CIDER,Not Available,main bar in casino
2503506,CL,243,925151,MEEKER O'ROURKE POST 1309,AMERICAN LEGION INC,9275 MAIN STREET,Not Available,13471,8/17/20,9/30/22,CLUB TAVERN SERVING BEER CIDER WINE AND LIQUOR,Not Available,Members only - not open to the public
1320362,A,122,904897,LI LI GROCERY INC,Not Available,83-03 GRAND AVE,Not Available,11373,2/12/20,1/31/23,GROCERY STORE SELLING BEER,Not Available,Not Available
2219241,AX,122,923475,MJD GOOD NEIGHBORS LLC,MEXICO VALERO,1278 STATE RTE 104B,Not Available,13114,4/30/20,3/31/23,GROCERY STORE SELLING BEER WINE PRODUCTS AND CIDER,Not Available,Not Available
1294832,L,222,922544,MARIEL LIQUOR STORE INC,Not Available,1613 WESTCHESTER AVE,Not Available,10472,11/21/19,11/30/22,LIQUOR STORE SELLING WINES AND LIQUORS,Not Available,Not Available
3008444,OP,252,926423,DEVELDER INC,BAR-EAT-O,3 BANK ST,Not Available,14454,9/22/20,9/30/22,TAVERN SERVING BEER CIDER WINE AND LIQUOR,Not Available,Not Available
1275123,A,122,922922,KOCHU INC,COMMUNITY GREENMARKET,2228 WHITE PLAINS RD,Not Available,10467,12/11/19,12/31/22,GROCERY STORE SELLING BEER & CIDER,Not Available,Not Available
1278089,OP,252,926480,WAN HAO RESTAURANT INC,THE REAL KTV ROYAL QUEEN,136-20 ROOSEVELT AVE,3RD FLOOR,11354,9/23/20,9/30/22,RESTAURANT SERVING BEER WINE LIQUOR & CIDER,Not Available,Not Available
1297941,AX,122,921425,LAI FU 88 GROCERY INC,Not Available,2102 BATH AVE,FIRST FL,11214,9/30/19,10/31/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1206969,AX,122,932101,TOWFIK ALI SALEH,ALLERTON DELI GROCERY,801 ALLERTON AVENUE,HOLLAND & BARNS,10467,6/25/20,6/30/23,GROCERY STORE SELLING BEER CIDER AND WINE COOLER PRODUCTS,Not Available,Not Available
1330060,A,122,916943,4511 AVE L INC,PETER PLUS DELI & GROCERY,4511 AVENUE L,Not Available,11234,11/13/20,10/31/23,GROCERY STORE SELLING BEER AND CIDER,Not Available,Not Available
1301803,OP,252,926806,TMSI INC AND USE LX LLC,INTERSECT BY LEXUS,412 W 14TH ST,Not Available,10014,10/2/20,9/30/22,RESTAURANT SERVING LIQUOR WINE BEER & CIDER.,CB2 STIPS: Hours: 1st Fl Su-Th 7am-10pm F&Sa 7am-12am 2nd Fl 11am-12am,3rd fl Closes 11pm: No Promoters Recorded Music No Dancing DJ/Live Music Events Only
1327976,AX,122,905153,DK DELI INC,Not Available,215-15 39TH AVE,Not Available,11361,9/28/20,8/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1321935,AX,128,933122,STOP & SHOP SUPERMARKET CO LLC THE,STOP & SHOP STORE #2584,130 WHEATLY PLAZA,Not Available,11548,8/7/20,6/30/23,GROCERY STORE SELLING BEER WINE PRODUCTS AND CIDER,Not Available,Not Available
3163138,AX,122,916292,HENRY'S CONVENIENCE MARKET INC,HENRY'S CONVENIENCE MARKET,467 DENISE RD,Not Available,14616,11/29/19,10/31/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2218803,AX,122,916087,N MAIN ST DELI & CONVENIENCE LLC,Not Available,406 N MAIN ST,Not Available,13212,3/19/20,2/28/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1265377,OP,252,927216,MARQUET WILLIAMSBURG INC,MOMINETTE,221 KNICKERBOCKER AVE,Not Available,11237,10/20/20,10/31/22,RESTAURANT SERVING BEER WINE LIQUOR & CIDER,Not Available,Includes Rear Garden
3155432,OP,252,927387,APLUS FOOD SERVICE INC,JACK'S GRILL,120 DRYDEN RD,Not Available,14850,10/23/20,10/31/22,RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,Not Available,Licensed sidewalk
1178843,DX,126,920747,DUANE READE INC,STORE 14204,678 MCLEAN AVE,Not Available,10704,8/19/19,9/30/22,DRUG CHAIN BEER/WINE PRODUCT CIDER,Not Available,Not Available
2222697,AX,122,935170,ELMANDA FOODS LLC,BENTLEY'S DELI,233 RTE 17,Not Available,10987,11/12/20,10/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1325972,AX,122,905100,YOSEIRY GROCERY STORE INC,Not Available,25 W 184TH ST,Not Available,10468,8/19/20,7/31/23,GROCERY STORE SELLING BEER AND WINE PRODUCTS,Not Available,Not Available
1276120,AX,122,923621,MIS HIJOS DELI CORP,MIS HIJOS DELI & GROCERY,2401 2ND AVE,Not Available,10035,12/24/19,1/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2012997,AX,122,925403,SHIVAM CORP,GETTY MART,333 WASHINGTON AVE,Not Available,12401,3/24/20,3/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1276632,AX,122,926151,INWOOD GAS INC,SUNOCO,20 SHERIDAN BLVD,Not Available,11096,5/1/20,5/31/23,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
1008828,AX,122,921688,MAGDY SALAMA,SUNSHINE DELI & GROCERY,1705 81ST ST,AKA 80 21 17TH AVE,11214,10/15/19,10/31/22,GROCERY STORE SELLING BEER WINE & CIDER PRODUCTS,Not Available,Not Available
2011346,OP,252,928564,BENTLEY & BENTLEY INC,THE RUSTY NAIL,1781 ROUTE 9,Not Available,12065,11/17/20,12/31/22,TAVERN - RESTAURANT SERVING LIQUOR CIDER WINE AND BEER,Not Available,live music disk jockey jukebox patron dancing (small scale)
2221334,L,222,933191,WILLOW & POST LLC,Not Available,81 MAIN ST,72 CO RD 54,12763,8/24/20,7/31/23,LIQUOR STORE,Not Available,Not Available
1234393,AX,122,921248,823 GOURMET GROCERY INC,Not Available,823 FREEMAN STREET,FREEMAN ST & PROSPECT AVE,10459,9/20/19,9/30/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1304300,RW,341,842688,JY GOURMET CORP,APPLE GOURMET,225 BROADWAY,1ST FL,10007,9/18/20,8/31/22,RESTAURANT SERVING WINE BEER & CIDER,Not Available,Not Available
2217174,AX,128,916245,FAMILY DOLLAR STORES OF NEW YORK INC,FAMILY DOLLAR STORE #30635,953 STATE RTE 374,Not Available,12918,1/3/20,12/31/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
3158460,AX,122,925029,ADEN FOOD & GAS MART INC,Not Available,1635 KENSINGTON AVE,Not Available,14215,3/4/20,3/31/23,GROCERY STORE SELLING BEER WINE AND CIDER PRODUCTS,Not Available,Not Available
1300320,AX,122,924501,BAY GAS MART INC,Not Available,248 BAY ST,Not Available,10301,2/5/20,2/28/23,GROCERY STORE SELLING BEER WINE PRODUCTS AND CIDER,Not Available,Not Available
1043596,AX,128,926332,PATS MEAT FARMS INC,PAT'S MARKET PLACE,9 HEWITT SQUARE,Not Available,11731,5/6/20,5/31/23,GROCERY STORE SELLING BEER AND CIDER,Not Available,Not Available
1009173,AX,122,924563,HASSAN OBAID SALAHI,Not Available,1224 CORTELYOU ROAD,Not Available,11218,2/7/20,2/28/23,GROCERY STORE SELLING BEER AND WINE CIDER PRODUCTS,Not Available,Not Available
2143577,OP,252,927472,LUDGER ALAIN LLC,SIDEWALK BISTRO,482 PIERMONT AVE,ASH STREET & TATE AVENUE,10968,10/26/20,11/30/22,RESTAURANT SERVING BEER WINE LIQUOR & CIDER,Not Available,No music or food on licensed patio must be closed by 10:00pm Su through Th 11:00pm on F & Sa
1039379,L,222,934081,6719 SPIRITS INC,JUNIOR'S LIQUORS,67 19 FRESH POND RD,Not Available,11385,8/31/20,8/31/23,LIQUOR STORE SELLING WINE AND LIQUOR,Not Available,Not Available
2206135,AX,122,924117,NICE & EASY DELI SHOP INC,Not Available,2909 MILTON AVE,Not Available,13209,1/21/20,1/31/23,GROCERY STORE SELLING BEER WINE PRODUCTS & CIDER,Not Available,Not Available
1319678,AX,122,904796,MT DELI GROCERY INC,Not Available,245 HOWARD AVE,Not Available,11233,1/6/20,12/31/22,GROCERY STORE SELLING BEER AND WINE PRODUCTS,Not Available,Not Available
2010962,AX,122,920977,MALTA CORNERS MINI-MART INC,MALTA MOBIL MINI-MART,2465 RT 9,Not Available,12020,9/3/19,8/31/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
3158778,FW,302,932369,SCHUTT'S APPLE MILL,Not Available,1063 PLANK RD,T/O PENFIELD,14580,7/6/20,7/31/23,FARM WINERY,Not Available,Not Available
1311986,RW,341,842601,1544 DEKALB CORP,BLUE COLLAR,1544 DEKALB AVE,STORE 5,11237,8/20/20,8/31/22,RESTAURANT SERVING BEER CIDER AND WINE,Not Available,Not Available
1248228,AX,122,920790,ISLIP TERRACE COVENIENCE STORE INC,Not Available,3259 SUNRISE HIGHWAY,Not Available,11752,8/20/19,10/31/22,GROCERY STORE SELLING BEER WINE & CIDER PRODUCTS,Not Available,Not Available
1319454,AX,122,904784,EN SHAN GROCERY INC,Not Available,5916 FORT HAMILTON PRKWY,Not Available,11219,12/31/19,11/30/22,GROCERY STORE SELLING BEER AND WINE PRODUCTS,Not Available,Not Available
1200129,AX,122,922938,GHOTRA INTERNATIONAL INC,DELI FOR BIG BELLY,212 15 JAMAICA AVENUE,212 STREET AND JAMAICA AVENUE,11428,12/11/19,12/31/22,GROCERY STORE SELLING BEER WINE & CIDER PRODUCTS,Not Available,Not Available
1312900,RW,341,842761,NEW YORK DUN HUANG INC,DUN HUANG,817 60TH ST,Not Available,11220,10/8/20,10/31/22,RESTAURANT SERVING WINE BEER AND CIDER,Not Available,Recorded Music Permitted and No Dancing
1309808,OP,252,927459,CONVENE AT 75 ROCK LLC,Not Available,75 ROCKEFELLER PLAZA,31ST & 32ND FLOORS,10019,10/26/20,9/30/22,RESTAURANT SERVING LIQUOR WINE BEER & CIDER,Not Available,Recorded Music
2602448,OP,252,926883,JEB'S HOLDING INC,JEB'S RESTAURANT & SPORTS CLUB,5403 SHADY AVE,STATE & PARK ST,13367,10/6/20,10/31/22,RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,Not Available,Not Available
2116878,AX,122,938233,JOHN S K ENTERPRISE INC,KEESEVILLE MOBIL,1736 FRONT ST,Not Available,12944,11/24/20,12/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Gas Station
2138800,L,222,923640,TAMARAC WINE & SPIRITS LLC,Not Available,3991 STATE RTE 2,TAMARAC PLAZA STORE # 15,12052,12/26/19,1/31/23,LIQUOR STORE SELLING WINE AND LIQUOR,Not Available,Not Available
1309484,RW,341,842727,NOODLELOVE LLC,NOODLELOVE,192 MOTT ST,Not Available,10012,9/29/20,9/30/22,RESTAURANT SERVING WINE BEER AND CIDER,CB2 Stips: Daily 10am- 11pm,CB2 Stips:  No outdoor areas No TVs Recorded music (no Live) No danc
2209701,WS,308,934383,PARMESON FAMILY LLC,PARMESON WINES,2859 DRY CREEK RD,Not Available,95448,9/15/20,9/30/23,DIRECT WINE SHIPPER,Not Available,Not Available
1100569,AX,122,934188,EASTCHESTER SERVICE CENTER INC,Not Available,381 WHITE PLAINS ROAD,Not Available,10709,9/2/20,10/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1296989,AX,122,921631,LOTUS ROUTE 109 GAS CORP,Not Available,1000 RTE 109,Not Available,11757,10/15/19,10/31/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1325095,AX,122,931951,EL RANCHERO DELI GROCERY CORP,Not Available,350 S BROADWAY,Not Available,10705,7/17/20,6/30/23,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
1322203,AX,122,931525,ROCKY 123 INC,MILANO MARKET,2892 BROADWAY,Not Available,10025,5/11/20,4/30/23,GROCERY STORE SELLING BEER AND WINE PRODUCTS,Not Available,Not Available
3011241,CL,243,925848,NIAGARA FRONTIER COUNTRY CLUB INC,Not Available,1058 LAKE ROAD,Not Available,14174,9/4/20,9/30/22,CLUB RESTAURANT SERVING BEER CIDER WINE & LIQUOR,Not Available,Not Available
1301260,A,122,926874,MENA DELI GROCERY CORP,Not Available,483B S BROADWAY,Not Available,10705,6/2/20,5/31/23,GROCERY STORE SELLING BEER,Not Available,Not Available
3154946,AX,122,926229,GENESEE ONE STOP MART INC,Not Available,176 GENESEE ST,Not Available,14611,5/4/20,5/31/23,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
1246042,A,122,934764,FRANCIS GROCERY & DELI INC,Not Available,79 JACKSON STREET,Not Available,10701,10/6/20,10/31/23,GROCERY STORE SELLING BEER AND CIDER ONLY,Not Available,Not Available
1034552,A,122,932264,D & T MINI DELICATESSEN INC,Not Available,35 18 30TH AVENUE,Not Available,11103,7/1/20,6/30/23,GROCERY STORE SELLING BEER AND CIDER,Not Available,Not Available
2206998,CM,110,795684,RAQUETTE RIVER BREWING LLC,RAQUETTE RIVER BREWING,11 BALSAM ST,#2,12986,12/24/19,1/31/23,COMBINED CRAFT MANUFACTURER,Micro Brewer - #2194359,Farm Brewer - #2206997
2206465,WS,308,937971,L FOPPIANO WINE CO INC,FOPPIANO VINEYARDS,12707 OLD REDWOOD HWY,Not Available,95448,11/5/20,12/31/23,DIRECT WINE SHIPPER,Not Available,Not Available
2602185,AX,128,925936,CLIFFORD'S SUNRISE TO SUNSET MARKETS INC,CLIFF'S LOCAL MARKET,7823 ROME WESTERNVILE RD,Not Available,13440,4/20/20,4/30/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
3012013,BP,144,923746,FINGER LAKES FOODSERVICE INC,THE WIRE,ROUTE 96 & BEAVER CREEK RD,UPPER GRANDSTAND CHARCOAL PIT,14425,1/2/20,1/31/23,BALLPARK SERVING BEER & CIDER,Not Available,Race Track
1206092,EB,141,926327,DELISSIMO DELI CORP,Not Available,39 E 60TH STREET,PARK AVE & MADISON AVE,10022,5/6/20,5/31/23,DELI SERVING BEER AND CIDER,Not Available,Not Available
1304849,AX,122,928600,EB DELI AND GROCERY CORP,185-20 GOURMET DELI,185-20 HILLSIDE AVE,Not Available,11432,11/18/20,10/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1297778,AX,122,921667,SRR CONVENIENCE INC,Not Available,315 KINGS HWY,Not Available,11223,10/15/19,10/31/22,GROCERY STORE SEELING BEER & CIDER,Not Available,Not Available
2218458,OP,252,923210,KMCMK LLC,ORCHARD TAVERN WEST,2050 WESTERN AVE,STE 114,12084,8/17/20,7/31/22,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,Not Available,Live Music
1319208,AX,122,904764,PEPITO'S DELI & GROCERY LLC,PEPITO'S DELI & GROCERY,314 HIGHLAND AVE,Not Available,10566,12/20/19,11/30/22,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
3159041,L,222,933372,NEW GENERATIONS LIQUORS INC,NEW GENERATIONS LIQUORS,666 JEFFERSON AVE,Not Available,14611,9/18/20,8/31/23,LIQUOR STORE SELLING LIQUOR AND WINE,Not Available,946 sq. ft. total 658 sq. ft. retail
2206432,WS,308,938093,LEAL VINEYARDS INC,LEAL ESTATE VINEYARDS,300 MARANATHA DR,Not Available,95023,11/16/20,12/31/23,DIRECT WINE SHIPPER,Not Available,Not Available
1160815,AX,122,933647,FOREVER GROCERY INC,Not Available,157 N FRANKLIN STREET,N COLUMBIA ST & BEDELL ST,11550,8/11/20,8/31/23,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
1204746,L,222,934798,PETER WINE & LIQUOR INC,Not Available,31 04 34TH AVE,31ST ST & 32ND ST,11106,10/7/20,11/30/23,LIQUOR STORE SELLING WINE AND LIQUOR,M-F 12PM -10PM F & SA 12PM - 11PM,Not Available
1015840,L,222,923932,SUKEN INC,SUPER LIQUOR,359 N MAIN STREET,Not Available,11520,1/14/20,1/31/23,LIQUOR STORE SELLING WINES LIQUORS & CIDER,Not Available,Not Available
1302745,AX,122,932910,106 CANDY & CONVENIENCE CORP,Not Available,232 E 106TH ST,WEST STORE,10029,8/3/20,6/30/23,GROCERY STORE SELLING BEER WINE PRODUCTS AND CIDER,Not Available,Not Available
1322476,LL,203,923342,BACCHUS IMPORTS INC,SOILAIR SELECTION,150 W 30TH ST,STE 706,10001,3/25/20,2/28/23,LIQUOR WHOLESALER,Not Available,Not Available
1281563,AX,122,938206,AY HENDRICKSON INC,ATLANTIC EXPRESS FUEL & FOOD,2 HENDRICKSON AVE,Not Available,11563,11/20/20,11/30/23,GROCERY STORE SELLING BEER AND WINE PRODUCTS,Not Available,Not Available
1302303,AX,122,932302,NILKANTH 915 CORPORATION,7 ELEVEN STORE #11156F,915 STRAIGHT PATH,Not Available,11704,7/2/20,6/30/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2193468,AX,122,920206,SPEEDWAY PLAZA INC,SPEEDWAY CONVENIENCE,935 HWY 37,Not Available,13655,7/31/19,9/30/22,GROCERY STORE SELLING BEER WINE & CIDER PRODUCTS,Not Available,Not Available
1324931,AX,122,931831,BANI FOOD CENTER CORP,BANI MINI MART,1121 1123 GREENE AVE,Not Available,11221,6/26/20,5/31/23,GROCERY STORE SELLING BEER AND WINE PRODUCTS,Not Available,Not Available
3165463,OP,252,896190,BDKSY LLC,STONEYARD PUB,48 MERCHANTS ST,Not Available,14420,10/8/20,9/30/22,TAVERN SERVING BEER CIDER WINE AND LIQUOR,Jukebox DJ Recorded Karaoke & Live Music,Patron Dancing; Licensed Patio
1296012,OP,252,925861,SPIN MAN LLC,NU BAR,47 2 BOUNDARY AVE,Not Available,11735,9/4/20,10/31/22,BAR/TAVERN SERVING LIQUOR WINE BEER AND CIDER,Not Available,Juke Box Music
1281871,OP,252,928769,2110 GROUP INC,FUSHIMI JAPANESE CUISINE,2110 RICHMOND RD UNIT A,Not Available,10306,11/24/20,11/30/22,RESTAURANT SERVING LIQUOR WINE BEER & CIDER,Not Available,RECORDED MUSIC PERMITTED NO DANCING LICENSED SEASONAL OUTDOOR PATIO PERMITTED
2004447,AX,128,926355,DRAKE PETROLEUM CO INC,XTRA MART DELI JOE'S XTRA CAFE #10117,1371 RTE 23,Not Available,12521,5/6/20,5/31/23,CONVENIENCE STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1269097,L,222,922261,GRAND CRU WINE & SPIRITS INC,Not Available,555 W 42ND ST,UNIT #1,10036,11/12/19,11/30/22,LIQUOR STORE SELLING LIQUOR AND WINE,Not Available,Not Available
2193640,AX,122,921713,LOU JANE MARKET INC,Not Available,4615 S SALINA ST,Not Available,13205,10/17/19,10/31/22,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
1313270,RW,341,842899,JU SHUI YUAN INC,Not Available,136 77 41ST AVE,Not Available,11355,11/18/20,12/31/22,RESTAURANT SERVING BEER CIDER AND WINE,Not Available,Recorded Music
3013853,AX,128,923958,MARSHALL BROTHERS INC,THE PIT STOP,10 W MAIN STREET,Not Available,14590,1/14/20,1/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
